event_id,timestamp,user_id,user_timeline_step,table_accessed,query_type,rows_returned,after_hours_access,sensitive_data_access,failed_login_attempt,total_queries_session,data_exfiltration_pattern,unusual_query_flag
5,2026-03-01 12:32:00,user_01,5,salary,SELECT,121,0,1,0,2,0,0
23,2026-03-02 10:43:00,user_01,23,transactions,SELECT,182,0,1,0,2,0,0
17,2026-03-02 15:32:00,user_01,17,customers,SELECT,124,0,0,0,10,0,0
14,2026-03-02 23:59:00,user_01,14,finance,SELECT,238,1,1,0,10,0,0
11,2026-03-03 04:34:00,user_01,11,transactions,UPDATE,119,1,1,0,4,0,0
7,2026-03-03 11:39:00,user_01,7,orders,SELECT,126,0,0,0,3,0,0
15,2026-03-05 02:14:00,user_01,15,inventory,SELECT,166,1,0,0,6,0,0
13,2026-03-06 03:25:00,user_01,13,finance,SELECT,169,1,1,0,1,0,0
8,2026-03-07 09:27:00,user_01,8,transactions,SELECT,192,0,1,0,5,0,0
18,2026-03-07 11:13:00,user_01,18,customers,DELETE,101,0,0,0,6,0,0
1,2026-03-07 15:12:00,user_01,1,customers,SELECT,858,1,1,0,30,1,1
6,2026-03-07 16:45:00,user_01,6,customers,INSERT,80,0,0,0,3,0,0
19,2026-03-08 12:51:00,user_01,19,customers,SELECT,117,0,0,0,8,0,0
10,2026-03-09 14:30:00,user_01,10,inventory,SELECT,533,1,1,1,43,1,1
9,2026-03-09 23:43:00,user_01,9,customers,SELECT,230,1,0,0,7,0,0
22,2026-03-10 11:07:00,user_01,22,orders,INSERT,805,1,1,0,30,1,1
24,2026-03-10 23:33:00,user_01,24,inventory,SELECT,138,1,0,0,10,0,0
12,2026-03-11 16:37:00,user_01,12,finance,SELECT,105,0,1,0,5,0,0
20,2026-03-11 19:35:00,user_01,20,customers,SELECT,161,0,0,0,9,0,0
25,2026-03-12 00:37:00,user_01,25,inventory,INSERT,175,1,0,0,9,0,0
3,2026-03-12 20:59:00,user_01,3,finance,SELECT,150,1,1,0,10,0,0
21,2026-03-13 15:21:00,user_01,21,orders,SELECT,111,0,0,0,4,0,0
4,2026-03-13 18:36:00,user_01,4,orders,SELECT,124,0,0,0,8,0,0
16,2026-03-14 01:10:00,user_01,16,customers,SELECT,105,1,0,0,1,0,0
2,2026-03-14 19:29:00,user_01,2,orders,SELECT,132,0,0,0,5,0,0
50,2026-03-01 17:03:00,user_02,25,hr_data,DELETE,33,0,0,0,13,0,0
41,2026-03-02 21:48:00,user_02,16,hr_data,UPDATE,543,1,1,0,42,1,1
34,2026-03-03 04:00:00,user_02,9,customers,SELECT,845,1,1,0,33,1,1
29,2026-03-03 19:06:00,user_02,4,transactions,SELECT,92,0,1,0,15,0,0
32,2026-03-03 22:05:00,user_02,7,hr_data,UPDATE,93,1,0,0,16,0,0
